to,from,standart,premium
Tel Aviv,Ben Gurion airport,60,80
Jerusalem,Ben Gurion airport,100,120
Netania,Ben Gurion airport,100,120
Herzlia,Ben Gurion airport,75,90
Caesarea,Ben Gurion airport,120,150
Zichron Yakov,Ben Gurion airport,150,170
Haifa,Ben Gurion airport,200,225
Naharia,Ben Gurion airport,250,280
Nazareth / Afula,Ben Gurion airport,230,250
Tiberias,Ben Gurion airport,250,280
Jordon River Border crossing with Jordan,Ben Gurion airport,250,280
Safed,Ben Gurion airport,270,290
Karmiel,Ben Gurion airport,230,260
Rehovot,Ben Gurion airport,70,90
Ashdod,Ben Gurion airport,100,120
Ashkelon,Ben Gurion airport,120,140
Beer Sheva,Ben Gurion airport,200,225
Allenby Bridge,Ben Gurion airport,240,260
Dead sea,Ben Gurion airport,240,260
Arad,Ben Gurion airport,200,225
Mitzpe Ramon,Ben Gurion airport,300,340
Golan Heights,Ben Gurion airport,300,340
Eilat,Ben Gurion airport,500,550
